Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population Type,"Reasoning for ""Population Type""",Intervention,Outcome Documentation,"Reasoning for ""Outcome Documentation""",Control Group,"Reasoning for ""Control Group""",Study Design,"Reasoning for ""Study Design""",Temporal Documentation,"Reasoning for ""Temporal Documentation""",subject size,"Reasoning for ""subject size""","Reasoning for ""Intervention""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Medication-Related Osteonecrosis of the Jaw: A Reflection of Current Preventative and Therapeutic Guidelines: A Review,"Hassan H. Dib, W. Khalil, Houssam Jassar, Mohamad Houmnani",10.24018/ejdent.2022.3.2.57,https://doi.org/10.24018/ejdent.2022.3.2.57,European Journal of Dental and Oral Health,1,2022,no,"The abstract does not mention the specific population type, such as adult patients (≥18 years) with diagnosed osteoporosis who do not have cancer. Therefore, the study does not meet the criterion of focusing exclusively on this population type.",no,no,"While MRONJ is discussed, the abstract does not provide specific documentation of MRONJ outcomes following dental procedures such as extractions, periodontal surgery, implants, or prosthetic treatments. Therefore, the study does not meet the criterion of reporting MRONJ outcomes following specific, documented dental procedures.",no,"The abstract does not mention the inclusion of a control group of non-anti-resorptive medication users. Therefore, the study does not meet the criterion of including a control group.",no,"The abstract explicitly states that this is a review paper, not a primary research study. Therefore, the study does not meet the criterion of having a study design of a randomized controlled trial, prospective/retrospective cohort study, or case-control study.",no,"The abstract does not mention the temporal relationship between medication use and MRONJ development or the duration of medication use. Therefore, the study does not meet the criterion of clearly documenting both the temporal relationship and the duration of medication use.",no,"The abstract does not mention the specific subject size of the study, and it is a review paper rather than a primary study. Therefore, the study does not meet the criterion of having a subject size of more than 100 people.","While dental procedures are implied in the context of MRONJ, the abstract does not provide details on specific invasive dental treatments such as tooth extraction, implant placement, periodontal surgery, or removable prosthesis fabrication. Therefore, the study does not meet the criterion of having an intervention of invasive dental treatment.",Exclude,"This review paper fails to meet any of the specified screening criteria, including lack of focus on Romosozumab, absence of a defined subject population, and no documentation of specific dental interventions or outcomes. As a literature review rather than a primary research study, it does not provide the required clinical data or methodological elements needed for inclusion in the systematic review.",0.1
Nonsurgical Management of Medication-Related Osteonecrosis of the Jaws Using Local Wound Care.,"D. Hadaya, A. Soundia, E. Freymiller, T. Grogan, D. Elashoff, S. Tetradis, T. Aghaloo",10.1016/j.joms.2018.05.025,https://doi.org/10.1016/j.joms.2018.05.025,Journal of oral and maxillofacial surgery,36,2018,maybe,"The study includes adult patients with MRONJ, but doesn't explicitly state they all have diagnosed osteoporosis or exclude cancer patients. The abstract mentions ""primary condition"" as a variable but doesn't specify what conditions were included.",maybe,maybe,"While the study documents MRONJ outcomes and their resolution, it doesn't clearly specify the dental procedures that led to MRONJ development.",no,The study appears to only include patients with MRONJ who received wound care treatment. There is no mention of a control group of non-anti-resorptive medication users.,yes,"The study is explicitly described as a retrospective cohort study, which meets the criteria.",maybe,"The abstract mentions ""time of antiresorptive treatment"" as a variable but doesn't clearly document the temporal relationship between medication use and MRONJ development or the duration of medication use.",yes,"The study includes 106 patients with 117 MRONJ lesions, exceeding the minimum requirement of 100 subjects.","While the study focuses on MRONJ, which typically follows dental procedures, the abstract doesn't explicitly state which dental procedures were performed, creating uncertainty about meeting this criterion.",Include,"The study fails to meet critical screening criteria, particularly the specific requirement for Romosozumab intervention, and lacks a control group of non-anti-resorptive medication users. While the research includes an adequate sample size and follows a retrospective cohort design, significant uncertainties exist regarding population characteristics, dental procedure documentation, and temporal medication relationships. These limitations substantially reduce the study's alignment with the predefined screening requirements.",2.5
Teriparatide for the Treatment of Medication-Related Osteonecrosis of the Jaw,"K. Chopra, Namrita Malhan",10.1097/MJT.0000000000001182,https://doi.org/10.1097/MJT.0000000000001182,American Journal of Therapeutics,5,2020,maybe,"While the abstract mentions patients with MRONJ secondary to antiresorptive/antiangiogenic drugs, it doesn't explicitly state they have diagnosed osteoporosis or confirm age ≥18. It also doesn't specify cancer status.",maybe,maybe,"While MRONJ outcomes are documented, this is a treatment study rather than a study of MRONJ development following dental procedures.",no,No control group is mentioned in the abstract.,no,"This appears to be a literature review rather than a primary research study (RCT, cohort, or case-control study).",no,The abstract doesn't document the temporal relationship between medication use and MRONJ development or the duration of medication use.,no,"The study includes only 54 patients, which is below the required minimum of 100 subjects.","The abstract mentions implant placement as a triggering factor, but this is discussed retrospectively rather than as a planned intervention study.",Exclude,"The study fails to meet multiple critical screening criteria, including using the wrong medication (teriparatide instead of romosozumab), having an insufficient sample size of 54 patients, and being a literature review rather than a primary research study. Key methodological requirements such as a control group, clear population definition, and appropriate study design are not satisfied, rendering the paper unsuitable for inclusion in the systematic review.",0.1
Development of Medication-Related Osteonecrosis of the Jaw After Extraction of Teeth With Experimental Periapical Disease.,"D. Hadaya, A. Soundia, I. Gkouveris, S. Dry, T. Aghaloo, S. Tetradis",10.1016/j.joms.2018.08.010,https://doi.org/10.1016/j.joms.2018.08.010,Journal of oral and maxillofacial surgery,37,2019,no,"The study uses rats, not adult human patients with osteoporosis, and there is no mention of an osteoporosis diagnosis.",yes,yes,The study clearly documents MRONJ outcomes following tooth extraction procedures.,yes,The study includes vehicle-treated animals as a control group.,maybe,"While this is an experimental study with controls, it's an animal study rather than one of the specified human study designs.",yes,"The study clearly documents the temporal relationship between medication use and MRONJ development, with specific timing (1 week pretreatment, 4 weeks after extraction).",no,"The study is conducted on rats, not human subjects, so the subject size is not relevant.","The study includes tooth extraction, which is one of the specified invasive dental treatments.",Exclude,"This animal study using zoledronic acid fails to meet critical screening criteria, specifically the requirement for human subjects with osteoporosis and romosozumab medication. Despite documenting MRONJ outcomes and including a control group, the fundamental mismatch in study population and intervention type disqualifies the research from meeting the specified screening requirements.",0.1
MRONJ Treatment Strategies: A Systematic Review and Two Case Reports,"A. Inchingolo, G. Malcangi, Irene Ferrara, A. Patano, F. Viapiano, Anna Netti, Daniela Azzollini, A. Ciocia, E. de Ruvo, M. Campanelli, Pasquale Avantario, A. Mancini, F. Inchingolo, C. G. Isacco, Alberto Corriero, A. Inchingolo, G. Dipalma",10.3390/app13074370,https://doi.org/10.3390/app13074370,Applied Sciences,6,2023,maybe,"The abstract does not mention specific details about the population, such as whether they have osteoporosis, their age, or their cancer status. Therefore, the population type is unclear from the abstract.",no,no,"The abstract focuses on treatment options for MRONJ, rather than documenting outcomes following dental procedures. Therefore, the study does not meet the criterion of reporting MRONJ outcomes following specific, documented dental procedures.",no,"The abstract does not mention any control groups, and the paper appears to be a review of treatment options rather than a comparative study. Therefore, the study does not meet the criterion of including a control group of non-anti-resorptive medication users.",no,"The paper is a systematic review, not a primary research study. While it includes RCTs and retrospective studies, it is not itself one of those study designs. Therefore, the study design does not meet the criterion of being a randomized controlled trial, prospective/retrospective cohort study, or case-control study.",no,"The abstract does not mention any temporal relationships or duration of medication use. Therefore, the study does not meet the criterion of clearly documenting both the temporal relationship between medication use and MRONJ development and the duration of medication use.",maybe,"The abstract mentions ""at least five cases"" as inclusion criteria, but this is for the review's inclusion criteria, not the actual study size. Therefore, the subject size is unclear from the abstract.","The abstract discusses surgical procedures and treatments, but this is about treating MRONJ, not about dental procedures causing MRONJ. Therefore, the intervention does not meet the criterion of invasive dental treatment.",Exclude,"This systematic review on MRONJ treatment fails to meet multiple critical screening criteria, including specific medication type, subject size, dental intervention focus, and study design. The abstract describes a review of treatment options rather than a primary research study examining dental procedures and medication-related outcomes, rendering it unsuitable for the intended systematic review.",0.1
"Association between periodontal disease, tooth extraction and medication-related osteonecrosis of the jaw in women receiving bisphosphonates: A national cohort-based study.","Min-Jeong Kwoen, Jung-Hyun Park, Keun-Suh Kim, Jae-Ryun Lee, Jin-Woo Kim, Hong-Pyo Lee, Hyo-Jung Lee",10.1002/JPER.21-0611,https://doi.org/10.1002/JPER.21-0611,The Journal of Periodontology,13,2022,maybe,"The study focuses on women >50 years with osteoporosis (implied by bisphosphonate use), but doesn't explicitly state they don't have cancer.",yes,yes,The study clearly documents MRONJ outcomes following specific dental procedures (extractions and periodontal disease/surgery).,no,"The abstract doesn't explicitly mention a control group of non-anti-resorptive medication users. The comparison is between periodontal disease and non-periodontal disease groups, both within bisphosphonate users.",yes,"The study is a retrospective cohort study using national health insurance data, which meets the criteria for study design.",maybe,"The study mentions patients took bisphosphonates for ""at least one year,"" but the temporal relationship between medication use and MRONJ development isn't clearly detailed in the abstract.",yes,"The study includes 27,168 patients, well above the 100-person minimum.","The study specifically examines tooth extraction and periodontal disease/surgery, which meets the criteria for invasive dental treatment.",Exclude,"The study focuses on bisphosphonates rather than Romosozumab, which immediately disqualifies it from meeting the primary screening criteria. While the research demonstrates a robust sample size and examines relevant dental interventions, the fundamental mismatch in medication type prevents its inclusion. Multiple other criteria are partially or fully met, but the core intervention requirement is not satisfied.",1.4
A systematic review of metastatic cancer presenting in osteonecrosis of the jaws (MC-ONJ) in patients undergoing antiresorptive and/or antiangiogenic therapy for skeletal-related adverse events.,"R. Sacco, Julian Woolley, J. Yates, M. Calasans-Maia, O. Akintola, V. Patel",10.1016/j.oooo.2021.01.001,https://doi.org/10.1016/j.oooo.2021.01.001,"Oral surgery, oral medicine, oral pathology and oral radiology",8,2021,no,"The study includes patients with cancer, specifically focusing on metastatic cancer. Therefore, the population type does not meet the criterion of focusing exclusively on adult patients (≥18 years) with diagnosed osteoporosis who do not have cancer.",maybe,maybe,"While MRONJ is discussed, the specific dental procedures are not documented. Therefore, the study partially meets the criterion of reporting MRONJ outcomes following specific, documented dental procedures.",maybe,"There is no mention of a control group in the abstract, so it is unclear if this criterion is met.",no,"This is a systematic review, not a primary study, and therefore does not meet the criterion of having a study design of a randomized controlled trial, prospective/retrospective cohort study, or case-control study.",no,"There is no clear documentation of the temporal relationship between medication use and MRONJ development, or the duration of medication use. Therefore, the study fails to meet the criterion of clearly documenting both the temporal relationship and the duration of medication use.",yes,"The abstract mentions 604 patients across 4 studies, which meets the criterion of having a subject size of more than 100 people.","While osteonecrosis of the jaw (ONJ) is discussed, the specific dental procedures are not detailed. Therefore, it is unclear if the intervention meets the criterion of including invasive dental treatment, such as tooth extraction, implant placement, periodontal surgery, other dental surgery, or removable prosthesis fabrication.",Exclude,"The systematic review fails to meet multiple critical screening criteria, including specific medication focus, population type, and study design. Key disqualifying factors include the broad scope of antiresorptive drugs, inclusion of cancer patients, and the review's nature as a secondary research study rather than a primary clinical investigation. Consequently, the paper does not align with the predefined screening requirements for the systematic review.",0.1
Management and maintenance of oral health: Personalized primary prevention strategies and protocols in patients at risk of developing medication-related osteonecrosis of the jaw,"Giovanna Mosaico, C. Casu",10.36922/itps.1419,https://doi.org/10.36922/itps.1419,INNOSC Theranostics and Pharmacological Sciences,1,2024,maybe,"The abstract discusses both osteoporosis and bone cancer patients, and does not specify age restrictions, so it is unclear if the study focuses exclusively on adult patients (≥18 years) with diagnosed osteoporosis who do not have cancer.",yes,no,"While MRONJ outcomes are discussed, this is a review of preventive strategies rather than documentation of specific outcomes following dental procedures, so it does not meet this criterion.",maybe,"The abstract does not mention any control groups, so it is unclear if the study includes a control group of non-anti-resorptive medication users.",no,"This appears to be a review article rather than a primary research study, so it does not meet the criterion for a randomized controlled trial, prospective/retrospective cohort study, or case-control study.",no,"While medication use is discussed, there is no specific documentation of temporal relationships or duration of use, so it does not meet this criterion.",maybe,"The abstract does not mention any specific study size, so it is unclear if the study has a subject size of more than 100 people.","The abstract mentions dental procedures including ""maxillary or mandibular bone surgery"" and ""tooth extraction"", which meet the criterion for invasive dental treatment.",Exclude,"The abstract fails to meet multiple critical screening criteria, including the specific intervention of Romosozumab, study design requirements, and population restrictions. As a review article discussing general MRONJ prevention across different patient populations, it does not align with the targeted research parameters. The document lacks the precise methodological and population-specific elements necessary for inclusion in the study.",0.1
Zoledronic acid increases the prevalence of medication-related osteonecrosis of the jaw in a dose dependent manner in rice rats (Oryzomys palustris) with localized periodontitis,"J. G. Messer, J. L. M. Calle, J. Jiron, E. J. Castillo, C. Poznak, N. Bhattacharyya, Donald B. Kimmel, J. Aguirre",10.1016/j.bone.2017.12.025,https://doi.org/10.1016/j.bone.2017.12.025,Bone,32,2017,no,"The study uses rice rats (Oryzomys palustris), not human patients with osteoporosis. While the rats have natural susceptibility to periodontitis, this doesn't meet the criterion for adult human patients with diagnosed osteoporosis.",no,maybe,"While the study documents MRONJ outcomes, these are not in relation to specific dental procedures as required by the criteria.",yes,The study includes a control group (0μg/kg ZOL rats).,yes,"This is a controlled experimental study with randomized groups, which would qualify as an acceptable study design.",yes,"The study clearly documents both the temporal relationship between medication use and MRONJ development and the duration of medication use (12, 18, 24, and 30 weeks).",yes,"The study includes 230 rats, which exceeds the minimum requirement of 100 subjects.",The study does not involve any dental treatments. It focuses on natural food impaction-induced periodontitis in rats.,Exclude,"The study fundamentally fails key screening criteria by using zoledronic acid instead of romosozumab, conducting an animal experiment with rats rather than human patients, and lacking any invasive dental interventions. Critical misalignments include the wrong medication, non-human subjects, and absence of dental procedures, rendering the research ineligible for the systematic review. Multiple core screening requirements were not met, necessitating exclusion from further consideration.",0.1
Minimizing MRONJ after Tooth Extraction in Cancer Patients Receiving Bone-Modifying Agents,"G. Avishai, Danielle Muchnik, Daya Masri, A. Zlotogorski-Hurvitz, L. Chaushu",10.3390/jcm11071807,https://doi.org/10.3390/jcm11071807,Journal of Clinical Medicine,12,2022,no,"The abstract specifically mentions patients using BMAs ""for oncology indications,"" which violates the criterion requiring patients without cancer.",yes,yes,The study clearly documents MRONJ outcomes following specific dental procedures (extractions).,maybe,The abstract doesn't explicitly mention a control group of non-BMA users.,yes,"The study is described as a ""retrospective, cohort study,"" which meets the criteria.",yes,"The study documents the temporal relationship between BMA treatment and MRONJ development, including timing of treatment relative to extraction.",yes,"The study includes 93 patients with 103 extractions, meeting the minimum requirement of 100 subjects.","The study focuses on tooth extraction, which is explicitly listed as an acceptable intervention.",Exclude,"The study fails critical screening criteria by using bone modifying agents for oncology patients instead of Romosozumab for osteoporosis, and by including cancer patients which violates the population type requirement. Despite meeting several other methodological criteria, these fundamental deviations from the specified screening criteria necessitate exclusion from the systematic review.",0.1
Denosumab-related osteonecrosis of the jaw: a report of 2 cases and review of the literature.,"H. Chehal, N. Nikitakis, Mohammed N. Islam, J. Goodchild, L. Mordini, I. Bhattacharyya",-,-,General dentistry,0,2019,no,"The abstract doesn't specify the age range of the patients, and it doesn't explicitly state if the patients have diagnosed osteoporosis. It mentions both osteoporosis and bone metastases as indications, so there is insufficient information to confirm this criterion.",no,no,"MRONJ outcomes are mentioned, but specific dental procedures are not documented, so there is insufficient information to confirm this criterion.",no,There is no mention of a control group in the abstract.,no,"This appears to be a case report of 2 patients, which does not meet the required study design criteria.",no,"There is no clear documentation of the temporal relationship between medication use and MRONJ development, or the duration of medication use.",no,"The abstract only mentions 2 cases, which fails to meet the minimum requirement of 100 subjects.","While MRONJ is discussed, the abstract doesn't explicitly state which dental procedures were performed, so there is insufficient information to confirm this criterion.",Exclude,"The abstract describes a case report involving denosumab and MRONJ, which fundamentally fails multiple screening criteria including medication type, sample size, and study design. Specifically, the study uses denosumab instead of romosozumab, includes only two cases instead of the required 100+ subjects, and lacks a control group, rendering it ineligible for systematic review inclusion.",0.1
Medication-related osteonecrosis of the jaw-A case report and literature review,"Chen Chieh, D. Liao",10.17352/2455-5479.000196,https://doi.org/10.17352/2455-5479.000196,Archives of Community Medicine and Public Health,0,2023,no,"The abstract mentions both osteoporosis patients and cancer patients, and does not specify focusing exclusively on adult osteoporosis patients without cancer.",no,no,"While MRONJ is discussed as an outcome, the abstract does not indicate specific documentation of outcomes following particular dental procedures.",no,The abstract does not mention any control groups or comparative analysis.,no,"The abstract appears to be a review article rather than a primary research study with a specific design (RCT, cohort, or case-control).",no,"The abstract mentions ""long-term use"" of antiresorptive drugs but does not provide specific temporal relationships or duration documentation.",no,The abstract does not mention any specific study size or patient numbers.,"While the abstract discusses MRONJ in relation to dental procedures, it does not describe specific interventions or procedures being studied.",Exclude,"The abstract fails to meet multiple screening criteria, including specific focus on Romosozumab, defined subject size, detailed intervention documentation, and clear study design parameters. While discussing medication-related osteonecrosis of the jaw, the text appears to be a general review rather than a targeted research study with the required methodological specifications. Consequently, the document does not align with the comprehensive screening requirements for a focused clinical investigation.",1.4
Retrospective analysis of bacterial colonization of necrotic bone and antibiotic resistance in 98 patients with medication-related osteonecrosis of the jaw (MRONJ),"F. Ewald, Falk Wuesthoff, R. Koehnke, R. Friedrich, M. Gosau, R. Smeets, H. Rohde, Alexandre T. Assaf",10.1007/s00784-020-03595-9,https://doi.org/10.1007/s00784-020-03595-9,Clinical Oral Investigations,21,2020,maybe,"The abstract does not specify patient age or osteoporosis status, and there is no mention of cancer exclusion, so it is uncertain whether the study meets the population type criteria.",maybe,no,"While MRONJ is the focus, the abstract doesn't specify the dental procedures leading to MRONJ, and the focus is on microbial flora rather than procedure outcomes, so it fails this criterion.",no,"There is no mention of a control group, and the study appears to focus only on MRONJ patients, so it fails this criterion.",yes,"The study is clearly stated as a ""retrospective, single-center analysis"", which meets the criterion for a retrospective cohort study.",no,"There is no mention of the temporal relationship between medication use and MRONJ, and no documentation of medication duration, so it fails this criterion.",no,"The study includes 98 patients, which is below the required 100 subjects.","The abstract does not specify the dental procedures that led to MRONJ, so it is uncertain whether the study meets the specific intervention criteria.",Exclude,"The study fails to meet multiple critical screening criteria, including specific medication intervention, subject size, and control group requirements. While a retrospective analysis of MRONJ, the research does not align with the systematic review's focused parameters around Romosozumab and dental procedures. The microbiological focus diverges significantly from the targeted research questions.",1.4
Real-world study of medication-related osteonecrosis of the jaw from 2010 to 2023 based on Food and Drug Administration’s adverse event reporting system,"Yuhao Zhong, Wei Dai, Lin Yin, Guomin Wu, Xiaoying Wang",10.1093/jbmrpl/ziaf003,https://doi.org/10.1093/jbmrpl/ziaf003,JBMR Plus,0,2025,no,"The study includes both cancer and osteoporosis patients, and is not exclusively focused on osteoporosis patients without cancer.",maybe,maybe,"While MRONJ outcomes are documented, the specific dental procedures leading to these outcomes are not detailed in the abstract.",no,The study appears to be a pharmacovigilance analysis of adverse event reports and does not mention a control group of non-anti-resorptive medication users.,yes,"The study is described as a ""retrospective pharmacovigilance analysis"" using FAERS database, which could be considered a retrospective cohort study, though it's not a traditional clinical study design.",no,The abstract does not clearly document the temporal relationship between medication use and MRONJ development or the duration of medication use.,yes,"The study includes 22,846 MRONJ cases, which far exceeds the minimum requirement of 100 subjects.","The abstract does not specify the types of dental procedures that led to MRONJ. While dental procedures are implied as they are discussing MRONJ, the specific interventions are not documented.",Include,"The study fails to meet several critical screening criteria, including specific focus on Romosozumab, exclusive patient population, and detailed documentation of dental procedures and medication use. While the research includes a large sample size and explores medication-related osteonecrosis of the jaw, it lacks the precise methodological requirements for inclusion, particularly regarding intervention specifics and patient selection.",2.5
Contribution of Antiangiogenic Agents to the Risk of Medication-related Osteonecrosis of the Jaw in Combination with Antiresorptive Agents: Preliminary Results in a Comparative Prospective Report of 59 Oncologic Cases,"A. Yanni, C. Bouland, Raquel Monteiro, Alexandra Rodríguez, I. Loeb, R. Javadian, D. Dequanter",10.4103/jispcd.JISPCD_110_22,https://doi.org/10.4103/jispcd.JISPCD_110_22,Journal of International Society of Preventive and Community Dentistry,1,2022,no,"The study focuses on ""oncologic patients"", which explicitly fails the criterion as it specifically excludes cancer patients.",maybe,maybe,"The study reports MRONJ outcomes and mentions dental procedures, but doesn't clearly document specific procedures.",no,"The study compares AR alone vs AR+AA groups, but does not include a control group of non-anti-resorptive medication users.",yes,"The study is described as a ""prospective study"", which meets the criterion for acceptable study designs.",yes,"The study documents temporal relationships between medication use and MRONJ, and reports mean treatment duration before MRONJ diagnosis.",no,"The study includes 59 patients (47 in group 1, 12 in group 2), which is below the required minimum of 100 subjects.","The abstract mentions ""dental history (surgery, prosthesis)"", but it's not clear if all patients received invasive dental treatment.",Exclude,"The study fails critical screening criteria by focusing on oncologic patients using anti-resorptive agents other than Romosozumab, with a sample size below 100 participants. Multiple fundamental requirements are not met, including population type, medication specificity, and control group composition, rendering the study ineligible for systematic review inclusion.",0.1
Are medication-induced salivary changes the culprit of osteonecrosis of the jaw? A systematic review,"I. Suryani, Iraj Ahmadzai, M. T. That, S. Shujaat, R. Jacobs",10.3389/fmed.2023.1164051,https://doi.org/10.3389/fmed.2023.1164051,Frontiers in Medicine,1,2023,maybe,"The mean age is 66 years, indicating an adult population, but the abstract mentions chemotherapy and doesn't explicitly exclude cancer patients, so the population type criterion is only partially met or unclear.",maybe,maybe,"While MRONJ outcomes are discussed, specific dental procedures are not detailed, so the outcome documentation criterion is only partially met or unclear.",no,"There is no mention of control groups in the abstract, so the control group criterion is not met.",no,"This is a systematic review, not a primary study of the required design types (randomized controlled trial, prospective/retrospective cohort study, or case-control study), so the study design criterion is not met.",no,"There is no clear documentation of temporal relationships or medication duration, so the temporal documentation criterion is not met.",yes,"The review includes 272 MRONJ cases, which exceeds the 100-person requirement for the subject size criterion.","While MRONJ is discussed, the abstract doesn't explicitly specify the dental procedures involved, so there is insufficient information to determine if the intervention criterion of invasive dental treatment is met.",Exclude,"The systematic review fails to meet multiple critical screening criteria, including the specific intervention of Romosozumab, lack of a control group, and absence of a primary study design. While the study includes a substantial sample size and focuses on adult patients, it does not provide clear documentation of dental procedures, temporal relationships, or specific intervention details required by the screening protocol.",1.4
Can Surgical Management Improve Resolution of Medication-Related Osteonecrosis of the Jaw at Early Stages? A Prospective Cohort Study.,"A. Giudice, S. Barone, Federica Diodati, A. Antonelli, Riccardo Nocini, M. Cristofaro",10.1016/j.joms.2020.05.037,https://doi.org/10.1016/j.joms.2020.05.037,Journal of oral and maxillofacial surgery,45,2020,maybe,"The study includes adult patients (mean age 71.2 years) with osteoporosis, but also includes oncologic patients, which violates the criterion of focusing exclusively on non-cancer patients.",maybe,yes,The study clearly documents MRONJ outcomes and tracks specific outcomes like mucosal integrity and lesion downstaging.,no,No control group is mentioned in the abstract.,yes,"The study is described as a ""prospective, single-center cohort study,"" which meets the criteria for study design.",maybe,"While the study documents temporal aspects of treatment outcomes, it doesn't clearly document the duration of medication use before MRONJ development.",yes,"The study includes 129 patients, which exceeds the minimum requirement of 100 subjects.","While the study focuses on MRONJ treatment, it doesn't explicitly state whether the patients underwent invasive dental procedures. The abstract mentions ""trigger factors"" but doesn't specify them.",Include,"The study fails to meet critical screening criteria, particularly the specific requirement for Romosozumab intervention and the exclusion of oncologic patients. While demonstrating strengths in sample size and study design, the abstract lacks clarity on dental interventions and does not include a control group, rendering it unsuitable for the intended research parameters.",2.7
Medication-related osteonecrosis of the jaw (MRONJ): An update on the Memorial Sloan Kettering Cancer Center (MSKCC) experience and the role of Pre-medication Dental Evaluation in the prevention of MRONJ,"A. Owosho, S. T. Liang, Adi Z. Sax, Kant Wu, S. Yom, J. Huryn, C. Estilo",-,-,-,3,2020,no,"The abstract mentions Memorial Sloan Kettering Cancer Center, suggesting this may involve cancer patients, which would violate the criterion of non-cancer patients.",no,no,"While this appears to be related to dental procedures, specific MRONJ outcomes are not mentioned in the abstract.",no,No information about control groups is provided in the abstract.,no,The study design is not explicitly stated in the abstract.,no,No information about temporal relationships or medication duration is provided in the abstract.,no,The abstract does not provide any information about the sample size of the study.,"While the abstract is from a dental journal, the specific dental interventions are not mentioned.",Exclude,"The abstract lacks critical information about Romosozumab, dental interventions, and patient population, with significant methodological details missing. The affiliation with a cancer center suggests potential exclusion from the study criteria, and the incomplete nature of the text prevents comprehensive assessment against the screening requirements. Multiple key screening elements remain unaddressed, rendering a definitive evaluation impossible.",1.4
Medication-Related Osteonecrosis of the Jaws (MRONJ): Etiological Update,"G. Tenore, G. Palaia, G. Gaimari, O. Brugnoletti, L. Bove, R. L. Giudice, M. Mohsen, U. Romeo",10.14616/SANDS-2014-147152,https://doi.org/10.14616/SANDS-2014-147152,-,11,2014,no,"The abstract mentions both osteoporosis and cancer patients, so the study does not focus exclusively on adult patients (≥18 years) with diagnosed osteoporosis who do not have cancer.",no,no,"While MRONJ is discussed, there is no documentation of specific dental procedures or outcomes, so the study does not meet the criterion of reporting MRONJ outcomes following specific, documented dental procedures.",no,"The abstract does not mention any control groups, so the study does not meet the criterion of including a control group of non-anti-resorptive medication users.",no,"This appears to be a review article rather than a primary research study, and no specific study design is mentioned, so the study does not meet the criterion of having a study design of a randomized controlled trial, prospective/retrospective cohort study, or case-control study.",maybe,"The abstract mentions some temporal aspects of medication use and ONJ development, but not in a systematic way, so the study partially meets the criterion of clearly documenting both the temporal relationship between medication use and MRONJ development and the duration of medication use.",no,"The abstract does not mention any specific study size, so it is unclear whether the study meets the criterion of having a subject size of more than 100 people.","While the abstract discusses ONJ/MRONJ, it does not describe specific dental procedures or interventions, so the study does not meet the criterion of having an intervention of invasive dental treatment.",Exclude,"The abstract fails to meet multiple screening criteria, including specific focus on Romosozumab, invasive dental interventions, and a defined study population. It appears to be a general review of medication-related osteonecrosis rather than a targeted research study, lacking the precise methodological and population parameters required by the screening criteria. Consequently, the document does not qualify for inclusion based on the established screening requirements.",0.1
A Comparison of the Clinical and Radiological Extent of Denosumab (Xgeva®) Related Osteonecrosis of the Jaw: A Retrospective Study,"Zineb Assili, G. Dolivet, J. Salleron, Claire Griffaton-Tallandier, Claire Egloff-Juras, B. Phulpin",10.3390/jcm10112390,https://doi.org/10.3390/jcm10112390,Journal of Clinical Medicine,8,2021,no,"The study was conducted at a cancer institute (Institut de Cancérologie de Lorraine) and appears to focus on cancer patients, which explicitly violates the criterion requiring non-cancer patients.",maybe,maybe,"While the study documents MRONJ outcomes and uses CBCT for assessment, it doesn't clearly specify the dental procedures that led to MRONJ.",no,The abstract doesn't mention a control group of non-anti-resorptive medication users.,yes,"The study is described as a retrospective study, which meets the acceptable study design criteria.",yes,"The study documents temporal relationships with clear cumulative incidence rates at 6, 12, and 24 months.",yes,"The study includes 246 patients, which exceeds the minimum requirement of 100 subjects.","While the study discusses MRONJ, which typically follows dental procedures, the abstract doesn't explicitly state which dental procedures were performed, creating a significant uncertainty.",Exclude,"The study focuses on denosumab in cancer patients, which fundamentally conflicts with the specified screening criteria requiring romosozumab and non-cancer populations. Critical exclusion factors include the wrong medication, cancer patient population, and absence of a control group, rendering the study ineligible for the systematic review. Multiple screening criteria were not met, leading to a clear disqualification.",0.1
