Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population - Age and Diagnosis,"Reasoning for ""Population - Age and Diagnosis""",Population - Cancer Status,"Reasoning for ""Population - Cancer Status""",Intervention,"Reasoning for ""Intervention""",Control Group,"Reasoning for ""Control Group""",Dental Procedures,"Reasoning for ""Dental Procedures""",MRONJ Definition,"Reasoning for ""MRONJ Definition""",Study Design,"Reasoning for ""Study Design""",Subject Size,"Reasoning for ""Subject Size""",follow up period,"Reasoning for ""follow up period""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Medication-related osteonecrosis of the jaw: A disease of significant importance for older patients.,"Bridget Boston, D. Ipe, B. Căpitănescu, Andrei Gresita, S. Hamlet, R. Love, M. Hadjiargyrou, Chien-Ling Huang, I. Nusem, R. Miroiu, A. Popa-Wagner, P. Warnke, E. Petcu",10.1111/jgs.18414,https://doi.org/10.1111/jgs.18414,Journal of The American Geriatrics Society,4,2023,no,"While osteoporosis patients are mentioned, the study also includes cancer patients, which violates the criterion requiring exclusively osteoporosis patients.",no,"The abstract explicitly mentions including cancer patients, which directly violates this criterion.",maybe,The abstract discusses anti-resorptive medications but does not specifically focus on parenterally-administered bisphosphonates. It mentions multiple types of medications including anti-angiogenic and immunomodulators.,no,No mention of a control group is made in the abstract.,maybe,"The abstract mentions ""dental therapy"" but does not specifically document which invasive dental procedures were studied, such as tooth extraction, implant placement, periodontal surgery, oral surgery, or removable prosthesis. The information provided is too vague to confirm if this criterion is met.",yes,"The abstract does provide a clear definition of MRONJ, mentioning ""non-healing jawbone ulcerative-necrotic lesion appearing after dental therapy or minor trauma.""",no,"This appears to be a literature review rather than a primary research study, as it mentions ""Literature searches via PubMed"". This fails to meet the criterion for acceptable study designs.",no,"The abstract does not mention any specific sample size, which is a significant omission.",no,No specific follow-up period is mentioned in the abstract.,Exclude,"The literature review fails to meet multiple critical screening criteria, including lack of a specific study design, absence of a defined sample size, and inclusion of cancer patients alongside osteoporosis patients. Key methodological requirements such as detailed dental procedure documentation, follow-up period specification, and control group presence are not addressed, rendering the study non-compliant with systematic review standards.",0.1
Optical bone density as a prognostic risk factor for the development of medication-related osteonecrosis of the jaw in patients with bone metastases,"N. Vinogradova, L. Solomatina, M. Kharitonova, K. L'vov, D. Borzunov",10.18019/1028-4427-2020-26-4-539-543,https://doi.org/10.18019/1028-4427-2020-26-4-539-543,-,2,2020,maybe,The abstract does not specify the patient age range or whether they all had osteoporosis as their primary diagnosis.,maybe,No information is provided about the cancer status of the participants.,maybe,"The abstract mentions ""osteomodifying agents (bisphosphonates, denosumab)"" but does not specify if these were parenterally administered or for osteoporosis treatment specifically.",no,No control group is mentioned in the abstract.,no,"The abstract does not explicitly mention specific dental procedures that led to MRONJ. While the study is focused on MRONJ patients, it appears to focus more on bone density measurements rather than documenting the specific dental procedures that caused the condition.",maybe,"While MRONJ is the focus of the study, the abstract does not explicitly state the diagnostic criteria used.",yes,"The study is described as a ""retrospective analysis,"" which would qualify as a retrospective cohort study.",no,"The study includes only 52 patients, which is well below the required minimum of 100 patients.",maybe,"The study period is mentioned (2015-2019), but there is no clear indication of the individual patient follow-up duration.",Exclude,"The study fails to meet critical screening criteria, including insufficient patient sample size (52 vs. required 100), absence of a control group, and lack of specific documentation of dental procedures leading to MRONJ. Multiple key parameters remain unclear, such as patient age range, cancer status, and precise intervention details, which prevent the study from qualifying under the established screening requirements.",1.4
Latest findings of treatment and prevention of medication-related osteonecrosis of the jaw : Results of multicenter clinical trials,M. Umeda,10.5794/jjoms.66.52,https://doi.org/10.5794/jjoms.66.52,Japanese Journal of Oral & Maxillofacial Surgery,0,2020,no,The abstract does not specify the age range or primary diagnosis of the patients.,no,No information about cancer status of participants is provided.,no,"The abstract mentions ""antiresorptive agents"" but does not specifically state they are parenterally-administered bisphosphonates for osteoporosis treatment.",no,No mention of a control group in the abstract.,no,"The abstract mentions tooth extraction and discusses dental procedures in relation to MRONJ, but does not specifically report incidence following these procedures. The focus is more on treatment approaches rather than incidence.",no,"While MRONJ is discussed, the abstract does not explicitly state the diagnostic criteria used.",no,"The abstract mentions ""multicenter clinical trials"" but does not specify the exact study design.",no,The abstract does not mention the number of patients involved in the multicenter clinical trials.,no,No specific follow-up period is mentioned in the abstract.,Include,"The abstract lacks critical details required by the screening criteria, including specific patient population characteristics, study design, and precise intervention parameters. Multiple key elements such as subject size, follow-up period, control group, and diagnostic criteria are not addressed, rendering the study insufficient for meeting the comprehensive screening requirements. The text appears more focused on treatment strategies for medication-related osteonecrosis of the jaw rather than providing a structured research report.",2.5
Update on Medication Related Osteonecrosis of the Jaws,B. Boyd,10.32481/djph.2023.04.009,https://doi.org/10.32481/djph.2023.04.009,Delaware journal of public health,1,2023,no,"The abstract mentions both cancer and non-cancer patients, including those with osteoporosis, but does not specify age restrictions or exclusive focus on osteoporosis patients.",no,"The abstract explicitly includes patients with ""primary and metastatic bone neoplasia,"" which violates this criterion.",maybe,"While the abstract mentions bisphosphonates, it discusses them in a general context and includes both cancer and non-cancer treatments, rather than being specifically focused on parenteral bisphosphonates for osteoporosis.",no,No mention of control groups or study methodology.,no,"The abstract does not specifically document any invasive dental procedures, only mentioning ONJ/BRONJ/ARONJ/MRONJ in general terms.",no,"While the abstract mentions the evolution of terms (ONJ, BRONJ, ARONJ, MRONJ), it does not clearly define diagnostic criteria.",no,"This appears to be a review or commentary paper rather than a primary research study, and no specific study design is mentioned.",maybe,The abstract does not mention any specific patient numbers or study size.,maybe,No follow-up period is mentioned in the abstract.,Exclude,"The abstract fails to meet multiple critical screening criteria, including specific dental procedures, study design, population restrictions, and diagnostic definitions. It appears to be a general review or commentary rather than a primary research study, lacking the methodological rigor and specificity required by the systematic review protocol. Consequently, the text does not qualify for inclusion based on the established screening criteria.",0.1
What Do Prescribers of Bone Modifying Agents Know about Medication-Related Osteonecrosis of the Jaw? Is Current Prevention Enough?,"M. Golu, I. Pașcanu, C. Togănel, C. Petrovan, A. Coșarcă, Despina Luciana Bereczki Temistocle, A. Ormenișan",10.3390/app12189224,https://doi.org/10.3390/app12189224,Applied Sciences,2,2022,no,"The study does not focus on patients at all - it surveys physicians. While osteoporosis is mentioned, it is not studying a patient population.",no,"The study does not focus on patients, so this criterion cannot be evaluated.",no,"While bisphosphonates are mentioned, the study focuses on physician knowledge rather than examining the medications' effects directly.",no,"No control group is mentioned, as this is not an interventional study.",no,"The abstract only mentions ""dental surgery"" generally and does not specifically document or report MRONJ incidence following specific procedures like tooth extraction, implant placement, periodontal surgery, oral surgery, or removable prosthesis.",no,"While MRONJ is discussed, the abstract does not indicate that the study used specific diagnostic criteria.",no,"This is a survey study of physicians, not a randomized controlled trial, prospective/retrospective cohort study, or case-control study.",no,"The abstract does not mention any specific patient numbers, as this appears to be a survey of physicians rather than a patient study.",no,"No follow-up period is mentioned, as this is a cross-sectional survey study.",Exclude,"This survey study of physician knowledge about medication-related osteonecrosis of the jaw fails to meet the systematic review's screening criteria, which require a clinical study with specific patient populations, interventions, and outcomes. The research does not examine patient MRONJ incidence, lacks a defined patient cohort, and does not include the methodological elements necessary for inclusion in the review.",0.1
Incidence and treatment of MR-ONJ in a cohort of oncological patients.,"G. Setti, G. Garuti, Francesco Diamante, U. Consolo, P. Bellini",10.32388/O4EIE8,https://doi.org/10.32388/O4EIE8,Qeios,0,2021,no,"The study population consists of onco-hematological patients, not osteoporosis patients. Age criteria are not explicitly stated.",no,"The study specifically focuses on patients with oncological and hematological diseases, which violates this criterion.",no,"The study focuses on ""antiresorptive drugs"" but appears to be primarily in oncological/hematological patients, not specifically osteoporosis treatment.",no,No control group is mentioned in the abstract.,maybe,"The abstract mentions dental evaluation and treatment but does not specifically document invasive dental procedures like tooth extraction, implant placement, periodontal surgery, oral surgery, or removable prosthesis. While dental interventions are implied, they are not explicitly detailed.",maybe,"While MRONJ is discussed, the abstract does not explicitly state the diagnostic criteria used.",yes,This appears to be a prospective cohort study with a case series component.,yes,"The study includes 313 patients total, exceeding the 100-patient requirement.",yes,"The study mentions a 12-month follow-up period, meeting the 6-month minimum requirement.",Exclude,"The study involves onco-hematological patients with medication-related osteonecrosis of the jaw, which fundamentally differs from the required osteoporosis patient population. Critical screening criteria were not met, including the absence of a control group, inclusion of cancer patients, and lack of specific documentation of invasive dental procedures. The research, while methodologically sound, does not align with the systematic review's targeted parameters.",1.4
Identification of Potentially Pathogenic Variants Associated with Recurrence in Medication-Related Osteonecrosis of the Jaw (MRONJ) Patients Using Whole-Exome Sequencing,"Songmi Kim, Seyoung Mun, Wonseok Shin, Kyudong Han, Moon-Young Kim",10.3390/jcm11082145,https://doi.org/10.3390/jcm11082145,Journal of Clinical Medicine,5,2022,no,"The abstract mentions both postmenopausal osteoporosis and cancer patients, indicating a mixed population. Age criteria are not specified. This criterion is not met.",no,"The study explicitly includes cancer patients, violating this criterion.",maybe,"The abstract mentions bisphosphonates but does not specify if they are parenterally administered or specifically for osteoporosis treatment. It also mentions cancer patients, suggesting a mixed population. This criterion is partially met.",no,No control group is mentioned in the abstract. This criterion is not met.,maybe,"The abstract mentions ""tooth extraction and dental trauma"" as causes of MRONJ, but does not specifically document the dental procedures in a study context. This suggests the study may have partially met this criterion, but the information provided is not sufficient to fully evaluate it.",no,"While MRONJ is discussed, the abstract does not clearly define the diagnostic criteria used. This criterion cannot be evaluated from the information provided.",no,"This appears to be a genetic study using whole-exome sequencing, not a clinical trial or cohort study. This criterion is not met.",no,"The study only includes 10 MRONJ patients, which falls well below the required 100 patients. This criterion is clearly not met.",no,"The abstract does not mention any follow-up period, so this criterion cannot be evaluated from the information provided.",Exclude,"The study fails to meet multiple critical screening criteria, including insufficient sample size, mixed patient population, and lack of a control group. Genetic analysis of MRONJ patients reveals potential genetic variants, but the research design does not align with the systematic review's requirements for clinical intervention studies. The small sample of 10 patients and inclusion of cancer patients further disqualify the study from meeting the established screening criteria.",1.4
CURATIVE RATES OF MEDICATION-RELATED OSTEONECROSIS OF THE JAW FOLLOWING APPLICATION OF THE SICMF-SIPMO SURGICAL TREATMENT ALGORITHM,"G. Bettini, G. Saia, E. Perra, L. Tognin, Piero Franco, G. Bedogni, A. Bedogni",10.32388/LVB61W,https://doi.org/10.32388/LVB61W,Qeios,3,2021,no,"While the study includes osteoporosis patients, it also includes cancer patients, and there's no mention of age restrictions.",no,"The study explicitly includes cancer patients, which violates this criterion.",maybe,The abstract does not specify whether the patients received parenterally-administered bisphosphonates. It only mentions that patients had MRONJ and were divided into cancer and osteoporosis groups.,no,The abstract does not mention a control group of patients not receiving anti-resorptive medications.,no,"The abstract does not specifically document the dental procedures that led to MRONJ. While the study is about MRONJ, it focuses on treatment outcomes rather than incidence following specific dental procedures.",yes,"The study uses the SICMF-SIPMO clinico-radiological diagnostic criteria for MRONJ, which appears to be an established diagnostic system.",yes,"The study is described as a ""10-years longitudinal cohort study,"" which meets the criteria for acceptable study designs.",no,"The study includes 70 patients who reached 12-month follow-up, which is below the required 100 patients.",yes,"The study includes a 12-month follow-up period, which exceeds the minimum 6-month requirement.",Exclude,"The study fails to meet multiple critical screening criteria, including insufficient patient sample size, lack of a control group, and inclusion of cancer patients. While the research provides valuable insights into MRONJ treatment, it does not align with the specific systematic review requirements for population characteristics, intervention details, and study design. The paper's focus on treatment outcomes rather than incidence following specific dental procedures further limits its compatibility with the screening criteria.",1.4
Anatomical factors in medication-related osteonecrosis of the jaws,"J. A. Correia, A. Lóio, I. Furtado, A. Capelo, C. Caldas, N. Santos, F. Salvado",10.1080/07853890.2021.1897445,https://doi.org/10.1080/07853890.2021.1897445,Annals medicus,1,2021,maybe,"The mean age is 68.12 years, meeting the adult requirement. However, the primary diagnosis isn't specified as osteoporosis - it's unclear what conditions the patients had. This criterion is partially met.",no,The abstract doesn't mention cancer status of the patients. This criterion cannot be verified.,maybe,"The abstract mentions ""antiresorptive and antiangiogenic drugs"" but doesn't specifically state these were parenterally-administered bisphosphonates for osteoporosis treatment. This criterion is partially met.",no,No control group is mentioned in the abstract. This criterion is not met.,maybe,"The abstract mentions ""dentoalveolar surgery"" and ""dental prosthesis"" but it is unclear if these were the cause of MRONJ or just associated factors. The criterion is partially met.",no,"While MRONJ is mentioned, the abstract doesn't clearly state the diagnostic criteria used. This criterion cannot be verified.",yes,"The study is described as a ""retrospective study,"" which meets the criteria as a retrospective cohort study. This criterion is met.",yes,"The study includes 147 patients, which exceeds the minimum requirement of 100 patients. This criterion is met.",no,"The abstract doesn't mention any follow-up period, so this criterion cannot be verified.",Include,"The study partially meets screening criteria with a robust sample size of 147 patients and a retrospective design, but lacks critical details about follow-up period, control group, and specific diagnostic criteria. Significant uncertainties exist regarding the primary diagnosis, cancer status, and precise intervention characteristics, which prevent comprehensive assessment against the established screening requirements.",2.9
[ALGORITHM FOR TREATMENT PATIENTS WITH MEDICAL OSTEONEKROSIS OF JAWS BY CORRECTING ORAL MICROBIOTAL DISORDERS].,"T. Ivanyushko, K. Polyakov, L. Arazashvili, A. Simonova",-,-,Georgian medical news,0,2021,no,"The age range (55-76 years) meets the adult requirement, but the primary diagnosis is cancer, not osteoporosis.",no,The study explicitly includes patients who underwent surgical treatment for cancer and had tumor metastasis.,no,"The study examines parenterally-administered bisphosphonates (Zometa/zoledronic acid), but for cancer treatment rather than osteoporosis.",yes,The study includes 10 healthy individuals as controls.,no,"The abstract does not specifically document invasive dental procedures leading to MRONJ. While it mentions surgical treatment, this appears to be for cancer rather than dental procedures.",maybe,"While MRONJ is mentioned, the abstract doesn't clearly define the diagnostic criteria used.",maybe,"The study appears to be an observational study with a control group, but the exact design isn't clearly specified.",no,"The study includes only 22 MRONJ patients and 10 healthy controls, well below the required 100 patients.",yes,The study does mention a 6-month follow-up period for relapse assessment.,Exclude,"The study fails to meet multiple critical screening criteria, including patient population, sample size, and intervention specifics. Cancer patients receiving bisphosphonates for tumor treatment do not align with the required osteoporosis patient population, and the small sample size of 22 patients falls short of the 100-patient threshold. While some methodological elements are present, the fundamental misalignment with screening requirements renders the study non-compliant.",1.4
MEDICATION-RELATED OSTEONECROSIS OF THE JAWS DUE TO ADJUVANT OR HIGH DOSE ANTIRESORPTIVE TREATMENT,"S. Andersen, T. Kofod",10.1016/j.ijom.2023.10.135,https://doi.org/10.1016/j.ijom.2023.10.135,International Journal of Oral & Maxillofacial Surgery,0,2024,maybe,"The abstract does not explicitly mention age restrictions, and it includes both ADAR and HDAR patients, suggesting a mixed population.",no,"The abstract mentions ""adjuvant AR"", which suggests that some patients may have cancer, and it is not restricted to cancer-free patients.",maybe,"The abstract mentions ""antiresorptive treatment (AR)"" and includes both ""adjuvant AR (ADAR) or high-dose AR (HDAR)"", but does not specifically confirm parenteral administration.",no,The abstract does not mention a control group.,maybe,"The abstract does not explicitly mention specific dental procedures, but as a cohort study of MRONJ cases, it likely includes dental procedures, though this is not confirmed.",maybe,"The abstract does not explicitly mention the diagnostic criteria used for MRONJ, but as a specialized cohort study, it likely uses established criteria, though this is not confirmed.",yes,"The abstract indicates that the study appears to be a prospective cohort study, as it mentions ""systematically registered"".",maybe,"The abstract mentions a cohort study from 2005-2021, and while the exact number is not stated, a 16-year cohort study likely includes more than 100 patients.",maybe,"The abstract does not explicitly mention the follow-up period, but as a long-term cohort study, it likely includes adequate follow-up, though this is not confirmed.",Include,"A cohort study examining medication-related osteonecrosis of the jaws presents significant uncertainties across multiple screening criteria, including unclear dental procedures, undefined diagnostic criteria, and potential inclusion of cancer patients. While the study appears to be a systematic registration of MRONJ cases, it lacks explicit confirmation of key methodological requirements such as control group, specific intervention details, and precise population characteristics.",2.8
MRONJ ASSOCIATED WITH DENTAL INFECTION AND SECONDARY INVOLVEMENT OF THE NEARBY IMPLANT: A CASE REPORT,"Stefania Nespoli, E. Audino, S. Negrini, Francesco Daleffe, M. Mensi, L. Visconti, A. Castellani, S. Salgarello",10.32388/U22PV1.3,https://doi.org/10.32388/U22PV1.3,Qeios,0,2021,maybe,The abstract does not specify patient age or confirm osteoporosis as the primary diagnosis.,no,"The abstract mentions both skeletal and oncological diseases, suggesting the study population may include cancer patients.",maybe,The abstract mentions bisphosphonates but does not specify if they were parenterally administered or for osteoporosis treatment specifically.,no,"As a case report, there is no control group.",no,"The abstract mentions tooth extraction and dental implant, but only in the context of a single case report. It does not systematically document procedures across a study population.",yes,"The abstract does provide a clear definition of MRONJ, including exposed bone and persistence for >8 weeks.",no,"This is explicitly a case report, which does not meet the required study design criteria (RCT, cohort, or case-control).",no,"This is a case report, which by definition involves only one patient.",maybe,The abstract does not specify any follow-up period.,Exclude,"This case report fails multiple critical screening criteria, including insufficient subject size, lack of a control group, and an inappropriate study design. The single-patient case report does not meet the required methodological standards for systematic review inclusion, with significant limitations in population representation, intervention specification, and research design.",0.1
Antiresorptive agent-related osteonecrosis of the jaw risk in cancer patients before bone-modifying agent therapy: A retrospective study of 511 patients.,"C. Kanno, Momoyo Kojima, Yu Tezuka, Sadanoshin Yaginuma, Yoshiaki Kanaya, T. Kaneko",10.1016/j.bone.2023.116892,https://doi.org/10.1016/j.bone.2023.116892,Bone,1,2023,no,"The study population consists of cancer patients receiving BMAs, not patients with primary osteoporosis. This is another critical mismatch.",no,"The study explicitly focuses on patients with advanced cancer, which directly contradicts this criterion requiring cancer-free patients.",no,"The study examines bone-modifying agents (BMAs) in cancer patients, not parenterally-administered bisphosphonates for osteoporosis treatment. This is a critical mismatch with the inclusion criteria.",yes,The study includes a non-extraction group (376 patients) that serves as a control group.,yes,"The study specifically focuses on tooth extraction, which is one of the listed invasive dental procedures. This is clearly documented and is a central focus of the study.",maybe,"While the study discusses ARONJ (which is equivalent to MRONJ), it doesn't explicitly state the diagnostic criteria used, creating some uncertainty.",yes,"The study is described as a retrospective evaluation, which meets the criteria for acceptable study designs.",yes,"The study includes 511 patients, well exceeding the minimum requirement of 100 patients.",maybe,"The abstract does not explicitly mention the follow-up period, so there is significant uncertainty about whether this criterion is met.",Exclude,"The study focuses on cancer patients receiving bone-modifying agents, which fundamentally conflicts with the screening criteria targeting osteoporosis patients. Critical misalignments include the patient population, intervention type, and cancer status, rendering the study non-compliant with the specified inclusion requirements. Despite methodological strengths like robust sample size and clear dental procedure documentation, the core population and intervention characteristics disqualify the study from meeting the established screening criteria.",1.4
Osteoclast profile of medication-related osteonecrosis of the jaw secondary to bisphosphonate therapy: a comparison with osteoradionecrosis and osteomyelitis,"Christian Gross, Manuel Weber, Kay Creutzburg, Patrick Möbius, R. Preidl, K. Amann, F. Wehrhan",10.1186/s12967-017-1230-8,https://doi.org/10.1186/s12967-017-1230-8,Journal of Translational Medicine,0,2017,no,The abstract does not specify patient age range or primary diagnosis of osteoporosis. It appears to be a general study of MRONJ patients.,maybe,The abstract does not mention cancer status of participants.,maybe,"While the study mentions bisphosphonate therapy, it doesn't specifically examine parenterally-administered bisphosphonates for osteoporosis treatment. The context suggests this is a general study of MRONJ following bisphosphonate therapy.",maybe,"The study includes a control group (n=10), though it's not clear if these are patients not receiving anti-resorptive medications.",no,"The abstract does not specifically document invasive dental procedures. While it studies MRONJ, it focuses on histopathological analysis rather than documenting specific dental procedures that led to MRONJ.",maybe,"The abstract defines MRONJ as ""non-healing exposed bone in the maxillofacial region,"" which is a basic definition but doesn't explicitly state whether established diagnostic criteria were used.",maybe,"The study is described as a retrospective analysis of tissue specimens, which could qualify as a retrospective cohort study, though it's more focused on histopathological analysis.",no,"The study includes 70 patients total (30 MRONJ, 15 OM, 15 ORN, 10 control), which is below the required 100 patients.",no,The abstract does not mention any follow-up period. This appears to be a cross-sectional histopathological study rather than a longitudinal study.,Include,"This histopathological study of medication-related osteonecrosis of the jaw fails to meet several key screening criteria, including insufficient patient sample size, lack of documented dental procedures, and absence of a clear follow-up period. The research focuses on osteoclast characteristics rather than a comprehensive clinical investigation of MRONJ in osteoporosis patients, resulting in significant deviations from the specified screening requirements.",2.5
Medication-related osteonecrosis of the jaw: Osteoclast profile in comparison with osteoradionecrosis of the jaw and osteomyelitis of the jaw.,"Vy Tran Ngoc Thuy, R. Chaisuparat",10.1111/jop.13202,https://doi.org/10.1111/jop.13202,Journal of Oral Pathology & Medicine,1,2021,no,The abstract doesn't specify patient age or primary diagnosis of osteoporosis. It appears to be a mixed population including various jaw conditions.,maybe,No information is provided about cancer status of participants.,no,"While the abstract mentions medications for skeletal disease, it doesn't specifically examine parenterally-administered bisphosphonates for osteoporosis treatment.",maybe,"The study includes a control group of normal jaw bone (n=9), but this isn't specifically a group not receiving anti-resorptive medications.",no,The abstract does not mention any specific dental procedures. It's a histological study comparing different jaw conditions but doesn't discuss the procedures leading to MRONJ.,maybe,"While MRONJ is mentioned, the abstract doesn't clearly define the diagnostic criteria used.",yes,"This appears to be a case-control study comparing different jaw conditions, which would technically meet this criterion.",no,"The study includes only 38 subjects total (11 MRONJ cases), which is well below the required 100 patients.",no,No follow-up period is mentioned as this is a cross-sectional histological study.,Exclude,"This histological study fails to meet multiple critical screening criteria, including insufficient sample size, lack of specific dental procedures, absence of a defined follow-up period, and unclear patient population characteristics. The research is primarily a mechanistic investigation of osteoclast morphology in jaw conditions, diverging significantly from the systematic review's clinical focus on medication-related osteonecrosis of the jaw. Consequently, the study does not align with the required methodological and population parameters.",1.4
"Medication-Related Osteonecrosis of the Jaw: a Brief Review, Treatment and Practical Guidelines for Dentists","Ioana-Aurița Albu-Stan, D. Albu, Diana Cerghizan, L. Eremie, K. Jánosi, M. Baloș, C. Copotoiu",10.1515/jim-2017-0046,https://doi.org/10.1515/jim-2017-0046,-,1,2017,no,"The abstract mentions multiple conditions including cancer and osteoporosis, not exclusively osteoporosis patients. Age criteria are not specified.",no,"The abstract explicitly mentions patients with cancer (multiple myeloma, breast cancer, prostatic cancer), indicating this is not a cancer-free population.",maybe,"The abstract discusses bisphosphonates and denosumab for osteoporosis treatment, but also mentions their use for cancer treatment. It's not exclusively focused on parenteral bisphosphonates for osteoporosis.",no,No mention of control groups in the abstract.,no,"The abstract does not specifically document or report MRONJ incidence following specific dental procedures. While it mentions osteonecrosis of the jaw, it doesn't detail the dental procedures involved.",no,"While MRONJ is discussed, the abstract doesn't clearly define or specify the diagnostic criteria used.",no,The abstract appears to be a review or overview of MRONJ rather than a primary research study with a specific design.,maybe,The abstract does not mention any specific number of patients or study size.,maybe,No follow-up period is mentioned in the abstract.,Exclude,"The abstract fails to meet multiple critical screening criteria, including specific dental procedure documentation, defined study design, and exclusive focus on osteoporosis patients. It appears to be a broad review of medication-related osteonecrosis across various conditions, lacking the precise methodological and population specifications required by the screening protocol. Consequently, the text does not qualify for inclusion based on the established criteria.",1.4
Determining the extent of osteotomy in patients with medication-related osteonecrosis of the jaw of the mandible: What are the factors for poor prognosis?,"S. Hayashida, M. Umeda",10.5794/jjoms.69.128,https://doi.org/10.5794/jjoms.69.128,Japanese Journal of Oral & Maxillofacial Surgery,0,2023,no,"The abstract mentions both osteoporosis and bone metastasis of malignant tumors, suggesting a mixed population rather than exclusively osteoporosis patients.",no,"The abstract explicitly mentions patients with bone metastasis of malignant tumors, indicating inclusion of cancer patients.",maybe,"The abstract mentions bisphosphonates and denosumab as antiresorptive drugs, but doesn't specify parenteral administration or focus exclusively on osteoporosis treatment.",maybe,No mention of control groups or study methodology.,no,The abstract does not mention any specific dental procedures or their documentation. It only discusses MRONJ in general terms.,maybe,"While MRONJ is mentioned, the abstract doesn't indicate whether established diagnostic criteria are used.",no,The abstract appears to be a general discussion or review rather than presenting a specific study design.,maybe,No information about sample size is provided in the abstract.,maybe,No information about follow-up duration is mentioned.,Exclude,"The abstract lacks specific details about dental procedures, study design, and patient population, failing to meet multiple screening criteria. Critical information about sample size, follow-up period, and control groups is absent, and the text appears to be a general discussion rather than a focused research study. The inclusion of cancer patients and mixed diagnostic populations further disqualifies the abstract from meeting the established screening requirements.",1.4
Histopathological and Serum Biomarkers Analyses in MRONJ due to Periodontal Disease in Rats: Comparison of Zoledronic Acid and Denosumab,"Ceren Çoşkun, Revan Birke Koca Ünsal, M. Soluk Tekkeşin, Faruk Çelik, H. Ergen, S. Zeybek, K. Kayhan, M. Ünür",10.26650/experimed.1190912,https://doi.org/10.26650/experimed.1190912,Experimed,0,2023,no,"The study uses rats, not adult human patients with osteoporosis.",no,"The study explicitly induces prostate cancer in the rats, which violates this criterion.",maybe,"The study uses zoledronic acid and denosumab, which are parenterally-administered bisphosphonates. However, it's not specifically for osteoporosis treatment but rather in an experimental cancer model.",no,"The study includes a control group (CG) and saline group (SG), but these are not human patients not receiving anti-resorptive medications.",no,"The study involves periodontal disease induction through ligature application, but this is an experimental model rather than documented clinical dental procedures.",no,"While MRONJ is mentioned, the abstract doesn't clearly define diagnostic criteria.",no,"This is an experimental animal study, not a clinical trial or cohort study with human subjects.",no,"The study uses only 40 rats, well below the required 100 patients.",no,"The study mentions injections on days 14 and 21, suggesting a short-term study. No indication of 6-month follow-up.",Exclude,"This experimental rat study fails to meet multiple systematic review screening criteria, including subject size, follow-up period, study design, and population requirements. The research involves an animal model with induced cancer, using only 40 rats and examining periodontal disease, which fundamentally differs from the desired clinical human study parameters. Consequently, the study does not qualify for inclusion based on the predefined screening criteria.",0.1
Infections in cancer patients with medication-related osteonecrosis of the jaws,"Leandro Dorigan de Macedo, Victor Augusto Minari, L. M. A. Ramos Innocentini, Ana Laura Polizel Ranieri, Adriano Tadeu Dias Marangoni, Hilton Marcos Alves Ricz",10.15406/jcpcr.2022.13.00505,https://doi.org/10.15406/jcpcr.2022.13.00505,Journal of Cancer Prevention &amp; Current Research,0,2022,no,"The study focuses on oncological patients, not osteoporosis patients. This clearly fails to meet the criterion.",no,"The study specifically includes cancer patients, which directly contradicts this criterion requiring cancer-free participants.",no,"The study examines zoledronic acid (ZA), which is a parenterally-administered bisphosphonate. However, it's being used in cancer patients, not for osteoporosis treatment. This fails to meet the criterion.",no,No control group is mentioned in the abstract. This fails to meet the criterion.,maybe,"The abstract mentions ""triggering factor"" as a collected variable, but it does not specifically document which dental procedures were involved. Therefore, the reasoning is unclear from the abstract whether this criterion is met.",maybe,"The study uses a classification system for MRONJ (Class 1-3), suggesting established diagnostic criteria are used. This likely meets the criterion.",yes,"The study is described as ""retrospective, longitudinal and observational,"" which would qualify as a retrospective cohort study. This meets the criterion.",no,"The study only included 21 patients, which falls well below the required minimum of 100 patients. This is a clear failure of a critical criterion.",maybe,"The abstract does not explicitly state the follow-up period. While it's a ""longitudinal"" study, the reasoning cannot confirm if it meets the 6-month requirement.",Exclude,"The study fails critical screening criteria due to its small sample size of 21 patients, focus on cancer patients rather than osteoporosis patients, and lack of a control group. Multiple key requirements are not met, including the specified patient population, intervention indication, and study design parameters. These fundamental deviations from the screening criteria render the study non-compliant with the established research protocol.",0.1
