Title,Authors,DOI,DOI link,Venue,Citation count,Year,"population, indication","Reasoning for ""population, indication""",MRONJ latency,"Reasoning for ""MRONJ latency""",Control Group,"Reasoning for ""Control Group""",Procedure and Outcome,"Reasoning for ""Procedure and Outcome""",Study Design,"Reasoning for ""Study Design""",Outcome Documentation,"Reasoning for ""Outcome Documentation""","population, age","Reasoning for ""population, age""",subject size,"Reasoning for ""subject size""",intervention type,"Reasoning for ""intervention type""",diagnostic standard for MRONJ,"Reasoning for ""diagnostic standard for MRONJ""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Prevention of Medication-related Osteonecrosis of the Jaw (MR-ONJ) after dentoalveolar surgery in cancer patients: one year experience.,"G. Capocasale, F. Lonardi, Annarita Signoriello, G. Panozzo, F. Zotti, Riccardo Nocini, M. Albanese",10.32388/TTPEZS,https://doi.org/10.32388/TTPEZS,Qeios,0,2021,no,"The study specifically focuses on cancer patients, which is explicitly excluded by the criteria.",no,"The abstract does not document the time intervals between medication start, dental procedure, and MRONJ incidence.",no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, so no points were added for this criterion.",yes,The study mentions tooth extraction as a procedure and MRONJ as an outcome.,yes,"The study is described as a ""retrospective analysis"" which meets the criteria for acceptable study designs.",yes,The study has a one-year follow-up period (2019) which meets the 6-month minimum requirement.,maybe,"The abstract does not explicitly state the age of the subjects, but Elicit notes that since they are cancer patients, they are likely adults.",no,"The study only includes 15 patients, which is well below the required 100 subjects.",no,"The abstract mentions ""antiresorptive-antiangiogenic drugs, with or without Bisphosphonates"" which is too broad and includes non-bisphosphonate medications.",no,The abstract does not mention specific diagnostic standards for MRONJ.,Exclude,"The study fails critical screening criteria by focusing on cancer patients, having an insufficient sample size of only 15 subjects, and including non-bisphosphonate medications. Multiple other criteria were either not met or remained unclear, rendering the study ineligible for inclusion in the systematic review. The research fundamentally diverges from the specified population, intervention, and methodological requirements.",0.1
Medication related osteonecrosis of the jaw a current,"Domah, Raunaq, Pravinchandra",-,-,-,0,2019,no,"The abstract indicates that this is a review article rather than a primary research study with a specific patient population, so it fails this criterion.",no,"No information about time intervals is provided in the abstract, so it fails this criterion.",no,"The abstract does not mention any control group, so no points were added for this criterion.",no,"The abstract discusses MRONJ but does not specifically report incidence following dental procedures, so it fails this criterion.",no,"The abstract indicates that this is a review article rather than one of the required study designs, so it fails this criterion.",no,"As a review article, the abstract does not document specific MRONJ incidence or follow-up periods, so it fails this criterion.",maybe,"The abstract does not specify the age requirements of the study population, so the reasoning is uncertain.",no,"As this is a review article, no specific subject numbers are mentioned, so it fails this criterion.",no,"The abstract discusses multiple types of antiresorptive medications, not just oral bisphosphonates, so it fails this criterion.",yes,"The abstract mentions diagnostic criteria for MRONJ, but this is in the context of reviewing existing literature rather than implementing these criteria in a study, so it technically meets this criterion but not in the intended way.",Exclude,"This review article fails to meet multiple critical screening criteria, including lack of a defined study population, absence of a control group, and no specific documentation of MRONJ incidence following dental procedures. The paper provides a literature review of medication-related osteonecrosis of the jaw but does not constitute a primary research study with the required methodological elements for systematic review inclusion.",0.1
Bisphosphonate-Related Osteonecrosis of the Jaws – Diagnosis and Management,"P. Pechalova, E. Poriazova, N. Pavlov, A. Bakardjiev",10.5772/53858,https://doi.org/10.5772/53858,-,4,2013,maybe,"The abstract mentions patients taking alendronate for established osteoporosis, which meets this criterion. However, it also discusses mixed populations including Paget's disease patients, so it only partially meets this criterion.",no,"The abstract does not document any time intervals between medication start, dental procedures, and MRONJ incidence, so no points were added for this criterion.",no,"The abstract does not mention any control group, so no points were added for this criterion.",no,"The abstract does not specify any dental procedures or report MRONJ incidence following specific procedures, so it fails this criterion.",no,"The abstract appears to be a review or commentary of existing literature rather than an original research study, so it fails this criterion.",no,"The abstract does not provide any information about follow-up periods or clearly documented MRONJ incidence, so it fails this criterion.",maybe,"The abstract does not specify the age of the subjects, so the information is unknown.",maybe,"The abstract does not provide any information about the sample size, so the information is unknown.",maybe,"The abstract discusses both oral (alendronate) and intravenous bisphosphonates, but appears to focus on oral bisphosphonates. However, it's not clear if the study exclusively includes oral bisphosphonate patients, so it only partially meets this criterion.",no,"The abstract does not mention any diagnostic standards for MRONJ, so it fails this criterion.",Exclude,"The abstract fails to meet multiple critical screening criteria, including lack of a clear study design, absence of diagnostic standards, and no documentation of specific dental procedures or MRONJ incidence. While discussing bisphosphonate-related osteonecrosis, the text appears to be a literature review rather than an original research study, rendering it unsuitable for systematic review inclusion.",1.4
The role of interdisciplinary cooperation in the prevention of medication-related osteonecrosis of the jaw (MRONJ),"Monika Teślak, Izabela Chlebus, Iwona Ordyniec-Kwaśnica",10.31373/ejtcm/120581,https://doi.org/10.31373/ejtcm/120581,-,0,2020,maybe,"The abstract mentions patients treated with zoledronic or pamidronic acid, but does not specify if they were taking it for osteoporosis or cancer, so the population indication is unknown.",no,"No information about time intervals is provided, so no points were added for this criterion.",no,"The abstract does not mention any control group, so no points were added for this criterion.",no,"The abstract doesn't mention any specific dental procedures leading to MRONJ, so the study fails this criterion.",no,"The abstract appears to be describing a case series, which is explicitly excluded in the criteria, so the study fails this criterion.",no,"While MRONJ is mentioned, there's no information about follow-up period or clear documentation of incidence, so the study fails this criterion.",maybe,"The abstract does not specify the age of the subjects, so the age of the population is unknown.",no,"The abstract mentions ""36 patients"" which is below the required 100 subjects, so the study fails this criterion.",no,"The abstract mentions zoledronic and pamidronic acid, which are intravenous bisphosphonates, not oral bisphosphonates, so the study fails this criterion.",no,"While the abstract mentions ""painful exposure of the maxilla and mandible,"" it doesn't provide specific diagnostic standards, so the study fails this criterion.",Exclude,"The abstract describes a case series of 36 patients with medication-related jaw osteonecrosis, which fails multiple critical screening criteria including insufficient sample size, inappropriate study design, and lack of specific diagnostic and procedural details. The paper does not meet the required standards for inclusion in a systematic review, particularly regarding population size, intervention type, and comprehensive outcome documentation.",0.1
Medication-related osteonecrosis of the jaw triggered by endodontic failure in oncologic patients.,"A. Tempesta, S. Capodiferro, Simona Di Nanna, S. D’Agostino, M. Dolci, A. Scarano, G. Gambarini, E. Maiorano, G. Favia, L. Limongelli",10.1111/odi.14449,https://doi.org/10.1111/odi.14449,Oral Diseases,8,2022,no,"The study specifically focuses on ""oncologic patients"" taking antiresorptive and antiangiogenic drugs, which explicitly violates the criterion requiring patients taking medication for osteoporosis, excluding cancer patients.",no,"The abstract mentions that endodontic treatment was performed ""at least six months before the starting of antiresorptive/antiangiogenic therapies,"" but doesn't document the time from dental procedure to MRONJ incidence.",no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, so no points are added for this criterion.",no,"The study focuses on endodontic treatment failure rather than the specified dental procedures (extraction, periodontal surgery, implant placement, or removable prosthetic treatment).",yes,"This appears to be a cohort study, which would meet this criterion.",maybe,"The study does document MRONJ incidence and mentions follow-up, but the specific follow-up period is not clearly stated.",maybe,"The abstract does not explicitly state the age of the subjects, so it is unclear if this criterion is met.",no,"The study only includes 18 patients, which is well below the required 100 subjects.",no,"The abstract mentions ""antiresorptive and antiangiogenic drugs"" but does not specify oral bisphosphonates, so it appears to include a broader range of medications.",maybe,"While the study mentions surgical treatment and clinical/radiological follow-up, it doesn't explicitly state its diagnostic standards for MRONJ.",Exclude,"The study fails key screening criteria by focusing on oncologic patients instead of osteoporosis patients, using a small sample size of 18 subjects, and examining endodontic treatment rather than specified dental procedures. Multiple critical exclusion factors, including wrong patient population, insufficient sample size, and non-standard intervention type, disqualify this research from meeting the systematic review requirements.",0.1
Update on Medication Related Osteonecrosis of the Jaws,B. Boyd,10.32481/djph.2023.04.009,https://doi.org/10.32481/djph.2023.04.009,Delaware journal of public health,1,2023,no,"While the abstract mentions osteoporosis patients, it also discusses cancer patients and mixed populations, which violates the criterion requiring exclusive focus on osteoporosis patients.",no,No time intervals are documented in the abstract.,no,"The abstract does not mention any control group, so no points are added for this criterion.",no,"While ONJ/MRONJ is discussed, specific dental procedures are not mentioned.",no,"This appears to be a review or commentary rather than any of the required study designs, as it discusses the evolution of terms and general concepts rather than presenting original research.",no,No specific follow-up period or incidence rates are mentioned in the abstract.,maybe,"The abstract does not specify the age requirements of the subjects, so the reasoning for this criterion is unknown.",maybe,"The abstract does not mention any specific sample size, so the reasoning for this criterion is unknown.",maybe,"While bisphosphonates are mentioned, the abstract discusses multiple types of medications and doesn't specify oral bisphosphonates exclusively, so it only partially meets this criterion.",no,No diagnostic standards for MRONJ are mentioned in the abstract.,Exclude,"The abstract fails to meet multiple critical screening criteria, including specific study design requirements, population exclusivity, and detailed outcome documentation. While discussing medication-related osteonecrosis of the jaw, the text appears to be a conceptual review rather than an original research study with the necessary methodological rigor. Consequently, the abstract does not satisfy the comprehensive screening requirements for inclusion.",0.1
Optical bone density as a prognostic risk factor for the development of medication-related osteonecrosis of the jaw in patients with bone metastases,"N. Vinogradova, L. Solomatina, M. Kharitonova, K. L'vov, D. Borzunov",10.18019/1028-4427-2020-26-4-539-543,https://doi.org/10.18019/1028-4427-2020-26-4-539-543,-,2,2020,no,"The abstract mentions ""osteomodifying agents (bisphosphonates, denosumab)"" but does not specify if all patients were taking these for osteoporosis. Elicit notes that it appears to be a mixed population study, which fails this criterion.",no,"The abstract does not document the time intervals between medication start, dental procedures, and MRONJ incidence, so no points were added for this criterion.",no,"The abstract does not mention a control group, so no points were added for this criterion.",no,"The abstract does not specify which dental procedures led to MRONJ, so it fails this criterion.",yes,"The study is described as a ""retrospective analysis,"" which meets the criterion as a retrospective cohort study.",maybe,"While MRONJ incidence is documented, the follow-up period is not specified, so it is unclear if this criterion is met.",maybe,"The abstract does not explicitly state the age of the subjects, but Elicit notes that since it is a study of MRONJ patients, they are likely adults.",no,"The study only includes 52 patients, which is well below the required 100 subjects, so it fails this criterion.",no,"The study includes both bisphosphonates and denosumab, not exclusively oral bisphosphonates, so it fails this criterion.",yes,"The study uses multispiral computed tomography and bone type classification according to Misch, which constitutes a diagnostic standard.",Include,"The study fails key screening criteria including insufficient sample size (52 patients), mixed medication population, and lack of specification for dental procedures leading to MRONJ. Critical shortcomings include no control group, unclear patient age, and absence of detailed documentation about medication and procedure timelines. Despite meeting some methodological criteria, the research does not comprehensively address the required screening standards.",2.5
A clinical retrospective study of implant as a risk factor for medication-related osteonecrosis of the jaw: surgery vs loading?,"Yong-Dae Kwon, Hyunmi Jo, Jae-eun Kim, Jooyoung Ohe",10.1186/s40902-023-00398-2,https://doi.org/10.1186/s40902-023-00398-2,Maxillofacial plastic and reconstructive surgery,4,2023,maybe,"The study focuses on patients taking bisphosphonates, but it's not explicitly stated these are for osteoporosis treatment. The population appears to be specifically those with dental implant-associated MRONJ.",yes,The study documents the time interval between medication start and dental procedure (61.37 months average medication use) and between dental procedure and MRONJ incidence (51.03 months average).,no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, so no points were added for this criterion.",yes,The study clearly reports MRONJ incidence following dental implant placement.,no,"This appears to be a retrospective case series, which is explicitly excluded by the criteria.",maybe,"The study documents MRONJ incidence and appears to have adequate follow-up, but the specific follow-up period isn't mentioned.",yes,"While not explicitly stated, the abstract refers to ""older patients,"" suggesting the subjects are over 18 years old.",no,"The study only includes 33 patients, which is well below the required 100 subjects.",maybe,"The study mentions bisphosphonates as the most commonly used drug, but doesn't specify if all patients were taking oral bisphosphonates exclusively.",maybe,"While the study mentions using cone-beam computed tomography for evaluation, it doesn't explicitly state diagnostic standards for MRONJ.",Exclude,"The study fails key screening criteria due to its small sample size of 33 patients, which falls significantly short of the required 100 subjects, and its retrospective case series design, which is explicitly excluded. While the research provides insights into medication-related osteonecrosis of the jaw, it lacks a control group and does not clearly specify that all patients were taking oral bisphosphonates exclusively for osteoporosis treatment.",1.4
Characteristics of patients with osteonecrosis of the jaw with oral versus intravenous bisphosphonate treatment,"Seung-Hun Lee, So-Young Choi, M. Bae, T. Kwon",10.1186/s40902-021-00310-w,https://doi.org/10.1186/s40902-021-00310-w,Maxillofacial plastic and reconstructive surgery,0,2021,no,"The study includes both osteoporosis patients and cancer patients, which violates the criterion requiring a pure osteoporosis population.",maybe,"The study documents duration of bisphosphonate medication but does not clearly document the time interval between medication start and dental procedure, or between procedure and MRONJ incidence.",no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, so no points were added for this criterion.",maybe,"The abstract does not specify which dental procedures led to MRONJ, only mentioning ""surgeries"" in general.",yes,"The study is described as a retrospective study, which is an acceptable design.",maybe,"While the study documents MRONJ outcomes, the follow-up period is not specified in the abstract.",maybe,"The abstract does not explicitly state the age of the subjects, but since the study is on osteoporosis patients, it can be reasonably assumed that the subjects are adults over 18 years old.",yes,"The study includes 251 oral bisphosphonate patients, which exceeds the minimum requirement of 100 subjects.",no,"The study includes both oral and intravenous bisphosphonates, and specifically compares them, which violates the criterion requiring only oral bisphosphonates.",maybe,The abstract does not explicitly mention the diagnostic standards used for MRONJ.,Exclude,"The study fails critical screening criteria by including a mixed population of osteoporosis and cancer patients, and by examining both oral and intravenous bisphosphonates. Multiple key methodological details remain uncertain, including diagnostic standards, specific dental procedures, and follow-up period. These significant deviations from the required screening parameters render the study unsuitable for inclusion.",1.4
Contemporary Concept for Prevention and treatment of MRONJ (Medication Related Osteonecrosis of Jaw),"Jung-Hyun Park, Sun-Jong Kim",10.22974/jkda.2016.54.4.003,https://doi.org/10.22974/jkda.2016.54.4.003,The Journal of The Korean Dental Association,1,2016,no,"The abstract mentions that bisphosphonates are used for both osteoporosis and bone metastasis of malignancy, but does not specify which population was studied. This appears to be a mixed population study, which fails this criterion.",no,"No information about time intervals is provided, so no points were added for this criterion.",no,"The abstract does not mention any control group, so no points were added for this criterion.",no,"The abstract does not mention any specific dental procedures leading to MRONJ, so this criterion is failed.",no,"The abstract explicitly states this is a ""case series,"" which is specifically excluded in the criteria, so this criterion is failed.",no,"While MRONJ is discussed, there's no mention of a follow-up period or clear documentation of incidence, so this criterion is failed.",maybe,"The abstract does not specify the age of the subjects, so the reasoning for this criterion is unknown.",no,"The abstract describes this as a ""case series"" and does not specify the number of subjects. Given it's a case series, it likely has fewer than 100 subjects, which fails this criterion.",maybe,"While bisphosphonates are mentioned, the abstract does not specify whether they are oral or intravenous, so the reasoning for this criterion is unknown.",yes,"The abstract does mention a diagnostic standard for MRONJ (""exposed necrotic bone in the jaw, which has persisted for more than 8 weeks""), so this criterion is met.",Exclude,"This case series fails multiple critical screening criteria, including study design, population specification, and subject size requirements. The research lacks clear documentation of dental procedures, follow-up periods, and does not meet the specified methodological standards for inclusion. Consequently, the study does not qualify for further review based on the established screening criteria.",0.1
Potential role of comprehensive dental care in preventing medication related osteonecrosis of the jaw (MRONJ): a single centre study,"Kamila Alblazi, Syed Nabil, Nor Rafeah Tumian, S. S. M. Yunus, R. Ramli",10.1186/s12903-024-05081-0,https://doi.org/10.1186/s12903-024-05081-0,BMC Oral Health,0,2024,no,"The abstract mentions ""antiresorptive and antiangiogenic drugs"" but does not specifically state that the research is limited to patients taking medication for osteoporosis, suggesting a mixed population. This indicates the study fails this criterion.",no,"The abstract does not provide any information about the time intervals between the start of medication, dental procedure, and MRONJ incidence, so no points are added for this criterion.",no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, so no points are added for this criterion.",maybe,"The abstract mentions dental extraction as a risk factor and discusses comprehensive dental care, so this criterion is partially met.",maybe,"The abstract does not explicitly state the study design, so the study design criterion is unknown.",maybe,"While the abstract discusses MRONJ, it does not clearly indicate the follow-up period or specific documentation of MRONJ incidence, so this criterion is unknown.",maybe,"The abstract does not provide any specific information about the age of the subjects, so the age criterion is unknown.",maybe,"The abstract does not provide any information about the sample size of the medication group, so the subject size criterion is unknown.",no,"The abstract only mentions ""antiresorptive and antiangiogenic drugs"" broadly, and does not specifically state that the study includes only subjects taking oral bisphosphonate medication for osteoporosis treatment. This indicates the study fails this criterion.",no,"The abstract does not mention any diagnostic standards for MRONJ, so this criterion is not met.",Include,"The abstract fails to meet several critical screening criteria, including specific population indication, intervention type, and diagnostic standards for MRONJ. Multiple key details are missing or unclear, such as subject age, sample size, and study design, which prevents a comprehensive assessment of the research's alignment with the specified requirements. The broad mention of antiresorptive and antiangiogenic drugs suggests a mixed population that does not strictly adhere to the defined screening parameters.",2.5
Medication-related osteonecrosis of the jaw: A disease of significant importance for older patients.,"Bridget Boston, D. Ipe, B. Căpitănescu, Andrei Gresita, S. Hamlet, R. Love, M. Hadjiargyrou, Chien-Ling Huang, I. Nusem, R. Miroiu, A. Popa-Wagner, P. Warnke, E. Petcu",10.1111/jgs.18414,https://doi.org/10.1111/jgs.18414,Journal of The American Geriatrics Society,4,2023,no,"The abstract discusses both osteoporosis and cancer patients, indicating a mixed population. This fails to meet the criterion requiring exclusive focus on osteoporosis patients.",no,No information about time intervals is provided.,no,"The abstract does not mention any control group, so no points were added for this criterion.",no,"While dental therapy is mentioned, specific procedures (extraction, periodontal surgery, etc.) are not detailed.",no,"This appears to be a literature review rather than any of the specified study designs (RCT, cohort, or case-control).",no,The abstract doesn't describe specific follow-up periods or incidence rates.,maybe,"While the abstract mentions ""older patients,"" it doesn't explicitly specify age >18. However, given the context of osteoporosis treatment, it can be reasonably inferred that the population is adults.",no,The abstract does not specify the number of subjects in any study. It appears to be a review article rather than a primary research study.,no,"The abstract discusses ""anti-resorptive, anti-angiogenic or immunomodulators"" broadly, not specifically oral bisphosphonates.",no,The abstract provides a basic clinical definition of MRONJ but doesn't detail specific diagnostic standards.,Exclude,"The abstract represents a literature review that fails to meet multiple critical screening criteria, including lack of a control group, mixed patient population, and absence of specific intervention details. Key methodological requirements such as subject size, diagnostic standards, and precise outcome documentation are not addressed, rendering the study unsuitable for systematic review inclusion. The broad, review-style approach and mixed patient population fundamentally disqualify the paper from meeting the established screening criteria.",0.1
Medication-related osteonecrosis of the jaws (MRONJ) and the time to event: A retrospective study,"Cameron Y. S. Lee, Cameron Y. S. Lee, J. Suzuki",10.15761/docr.1000131,https://doi.org/10.15761/docr.1000131,-,0,2015,yes,"The study specifically focuses on patients prescribed oral antiresorptive medications, with no mention of cancer patients or mixed populations.",yes,"The study documents the time interval between medication start and MRONJ incidence (mean time to event of 55.8 months), which adds 0.2 points to the score.",yes,"The study included a control group of patients not taking anti-resorptive medications, which adds 0.2 points to the score.",yes,"The study specifically looks at MRONJ following dentoalveolar surgery, including tooth extraction and dental implant surgery.",yes,"The study is explicitly stated as a ""retrospective cohort study"".",yes,The study clearly documents MRONJ incidence and has a follow-up period of approximately 7 years (2006-2013).,maybe,"The abstract does not explicitly state the age of the subjects, but since the study focuses on patients taking antiresorptive medications for osteoporosis, it is likely that the subjects are adults, though this is not certain.",yes,"The study includes 388 patients, which is well above the 100-subject requirement.",maybe,"The study mentions ""oral antiresorptive medications"" and specifically mentions Fosamax (a bisphosphonate), but does not explicitly state that all patients were on oral bisphosphonates.",no,The abstract does not mention the diagnostic standards used for ONJ.,Include,"A retrospective cohort study of 388 patients taking oral antiresorptive medications demonstrates strong alignment with most screening criteria, including appropriate study design, large sample size, and clear documentation of dental procedures and MRONJ outcomes. While the study meets most key requirements, some uncertainties exist regarding diagnostic standards, precise medication types, and explicit age confirmation, which slightly temper its overall screening performance.",4.3
Antiresorptive agent-related osteonecrosis of the jaw risk in cancer patients before bone-modifying agent therapy: A retrospective study of 511 patients.,"C. Kanno, Momoyo Kojima, Yu Tezuka, Sadanoshin Yaginuma, Yoshiaki Kanaya, T. Kaneko",10.1016/j.bone.2023.116892,https://doi.org/10.1016/j.bone.2023.116892,Bone,1,2023,no,"The study focuses on patients taking bone-modifying agents (BMAs) for advanced cancer, not osteoporosis, which does not meet the population indication requirement.",maybe,"The study mentions the timing of extraction before BMA therapy, but does not clearly document the time to ARONJ incidence, so it only partially meets this requirement.",yes,"The study explicitly includes a non-extraction group as a control, which meets the requirement for a control group.",yes,"The study specifically examines tooth extraction and subsequent ARONJ incidence, which meets the procedure and outcome requirement.",yes,"The study design is explicitly mentioned as a retrospective study, which meets the study design requirement.",maybe,"The follow-up period is not specified in the abstract, and while ARONJ incidence is documented, the timing details are lacking, so it is unclear if this requirement is met.",maybe,"The age of the subjects is not explicitly mentioned in the abstract, so it is unclear if the population meets the age requirement.",yes,"The study includes 511 patients total, with 135 in the extraction group, which exceeds the 100-subject requirement for the medication group.",no,"The study uses bone-modifying agents (BMAs) for cancer treatment, not oral bisphosphonates for osteoporosis, which does not meet the intervention type requirement.",maybe,"While ARONJ is mentioned, the specific diagnostic standards are not detailed in the abstract, so it is unclear if this requirement is met.",Exclude,"The study focuses on cancer patients receiving bone-modifying agents, which critically disqualifies it from the systematic review due to population and intervention type mismatches. Despite meeting several methodological criteria like control group, subject size, and study design, the fundamental deviation from osteoporosis patient and oral bisphosphonate requirements necessitates exclusion. The research's specific focus on cancer-related bone-modifying agents renders it inappropriate for the intended review.",0.1
Incidence and treatment of MR-ONJ in a cohort of oncological patients.,"G. Setti, G. Garuti, Francesco Diamante, U. Consolo, P. Bellini",10.32388/O4EIE8,https://doi.org/10.32388/O4EIE8,Qeios,0,2021,no,"The study focuses on patients with ""onco-hematological"" diseases, not osteoporosis patients. This is a clear violation of the inclusion criteria.",no,"The abstract does not document the specific time intervals between medication start, dental procedures, and MRONJ incidence.",no,The abstract does not mention a control group of patients not taking anti-resorptive medications.,maybe,"While dental procedures are mentioned, the abstract doesn't specifically report MRONJ incidence following the required dental procedures.",yes,"This appears to be a prospective cohort study with follow-up, which meets the criteria.",yes,"The study has a 12-month follow-up period, which meets the 6-month minimum requirement, and documents MRONJ incidence.",maybe,"The abstract does not explicitly state the age of subjects, though given it's an oncological population, they are likely adults.",yes,"The study includes 313 patients total, which exceeds the minimum requirement of 100 subjects.",no,"The abstract mentions ""antiresorptive drugs"" but does not specify oral bisphosphonates. It appears to include a broader range of medications including ""target therapy agents.""",maybe,"The abstract mentions ""staging"" but does not explicitly describe diagnostic standards for MRONJ.",Exclude,"The study focuses on oncological patients taking antiresorptive medications, which deviates from the required osteoporosis patient population and medication type. Critical screening criteria were not met, particularly regarding patient indication and intervention specifics, rendering the study ineligible for inclusion in the systematic review. Multiple uncertainties and violations of key screening requirements further support exclusion.",1.4
Analysis of Factors Associated with the Postoperative Healing of Medication-Related Osteonecrosis of the Jaw in Patients with Osteoporosis,"Young-Ho Shim, Sang-Hwan Jung, Obida Boboeva, Sung-Tak Lee, Jin-Wook Kim, T. Kwon, So-Young Choi",10.3390/jcm10163651,https://doi.org/10.3390/jcm10163651,Journal of Clinical Medicine,3,2021,yes,"The study clearly focused on osteoporosis patients, excluding cancer patients, so this criterion was met.",no,"The abstract does not document the time intervals between medication start, dental procedures, and MRONJ incidence, so no points were added for this criterion.",no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, so no points were added for this criterion.",no,"The study focuses on surgical treatment of MRONJ rather than MRONJ incidence following dental procedures, which is a fundamental mismatch with the criterion.",yes,"This is a retrospective study, which is one of the accepted study designs, so this criterion was met.",no,"While the study documents outcomes, it is focused on post-surgical healing rather than MRONJ incidence after dental treatment, and the follow-up period is not specified, so this criterion was not met.",maybe,"While not explicitly stated, the context suggests the study included adult patients with osteoporosis, but this was not definitively confirmed.",yes,"The study included 400 patients, well above the minimum requirement of 100, so this criterion was met.",no,"The abstract mentions ""intravenously administered drugs"" and does not specify oral bisphosphonates exclusively, so this criterion was not met.",no,"The abstract does not explicitly mention diagnostic standards for MRONJ, so this criterion was not met.",Exclude,"The study fails to meet several critical screening criteria, including the requirement for oral bisphosphonates, documentation of MRONJ diagnostic standards, and focus on MRONJ incidence after dental procedures. While the research includes a large sample size of osteoporosis patients and uses an acceptable retrospective study design, fundamental misalignments with the specified screening requirements significantly reduce its suitability. The paper's primary focus on surgical treatment of existing MRONJ rather than incidence prevention represents a core deviation from the intended research parameters.",1.4
What Affects Healing Rates in Patients Treated for Medication-Related Osteonecrosis of the Jaw? The Role of Operative Therapy and Other Clinical Factors.,"M. Fujimori, Y. Toriyabe, Noriyuki Sakakibara, Masanori Nojima, Shujiroh Makino",10.1016/j.joms.2024.06.176,https://doi.org/10.1016/j.joms.2024.06.176,Journal of oral and maxillofacial surgery,1,2024,no,"While the abstract mentioned MRONJ, there was no specific information about whether the subjects were osteoporosis patients or if there was a mixed population.",no,"No information was provided about the time intervals between the start of medication, dental procedures, and MRONJ incidence.",no,No information was provided about whether the study included a control group of patients not taking anti-resorptive medications.,no,"While MRONJ was discussed, there was no specific mention of dental procedures leading to MRONJ.",no,The abstract did not specify the study design.,no,"The abstract mentioned ""healing rate"" but did not specify the follow-up period or clearly document MRONJ incidence.",no,No information was provided about the age of the study subjects.,no,No information was provided about the sample size of the study.,no,There was no specific mention of oral bisphosphonate medication or any other medication type.,no,There was no mention of the diagnostic standards used for MRONJ.,Exclude,"The abstract lacks critical details required by the screening criteria, including population characteristics, intervention specifics, study design, and diagnostic standards. Insufficient information prevents confirmation of any of the ten specified screening requirements, suggesting the study does not meet the predefined inclusion criteria. The brief text appears to focus on MRONJ treatment rather than the targeted research parameters.",1.4
Risk assessment of bisphosphonate-related osteonecrosis of the jaw based on CBCT scans,"Ferenc Koppány, Á. Joób-Fancsaly, Z. Németh, A. Belik, M. Vaszilkó, Edvárd Márton Varmuzsa, K. Csomó",10.1556/650.2020.31732,https://doi.org/10.1556/650.2020.31732,Orvosi Hetilap,3,2020,yes,"The study specifically focuses on patients with osteoporosis taking oral bisphosphonates, excluding mixed populations, which meets the population indication criteria.",no,"The abstract does not document the time intervals between medication start, dental procedure, and BRONJ incidence.",yes,"The study explicitly includes a control group of patients with osteoporosis who had not received any medications known to cause BRONJ, which meets the requirement for a control group.",yes,"The study mentions oral surgery as the dental procedure, though specific types are not detailed.",maybe,"While this appears to be a comparative study, the exact design (whether prospective, retrospective, or case-control) is not clearly stated in the abstract.",maybe,"While BRONJ incidence is documented, the follow-up period is not specified in the abstract.",maybe,"The abstract does not explicitly mention the age requirements for the study population, so it is unclear if all subjects were over 18 years old.",maybe,"The abstract does not mention the total number of subjects in either group, so it is impossible to verify if the study included over 100 subjects in the medication group.",yes,"The study specifically focuses on oral bisphosphonate medication for osteoporosis treatment, which meets the intervention type criteria.",maybe,The abstract does not explicitly mention the diagnostic standards for BRONJ.,Include,"The study partially meets screening criteria with a clear focus on oral bisphosphonate treatment for osteoporosis and inclusion of a control group, but lacks explicit documentation of critical elements like sample size, study design, and diagnostic standards. Significant uncertainties exist regarding age requirements, follow-up period, and comprehensive outcome documentation, which limit the study's alignment with systematic review screening criteria.",3.2
